epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,98.905,0.85723,1.3621,1.44803,1.11231,0,0.39988,0.4413,0.40585,0.29486,0.41872,0.46304,0.43131,0.29869,0.92563,1.30845,1.78271,1.23049,0,0.00122141,0.00122141,0.00122141
29,101.735,0.83277,1.19247,1.41444,1.08928,0,0.41908,0.53478,0.45455,0.34318,0.43712,0.55652,0.47496,0.35665,0.83917,1.24725,1.80264,1.14719,0,0.00120491,0.00120491,0.00120491
30,104.525,0.84132,1.21615,1.36538,1.09323,0,0.53019,0.68478,0.61748,0.48271,0.53019,0.68478,0.61748,0.46381,0.75737,1.33322,1.44623,1.04376,0,0.0011884,0.0011884,0.0011884
31,107.392,0.80465,1.17473,1.29912,1.08246,0,0.61176,0.70284,0.67341,0.52807,0.61176,0.70284,0.67341,0.49579,0.70726,1.31646,1.30251,1.02316,0,0.0011719,0.0011719,0.0011719
32,110.256,0.83192,1.24311,1.37657,1.08481,0,0.63131,0.74419,0.69247,0.52035,0.63131,0.74419,0.68628,0.50819,0.73056,1.17452,1.31815,1.05743,0,0.0011554,0.0011554,0.0011554
33,113.099,0.77348,1.19451,1.37168,1.04614,0,0.61307,0.72826,0.64163,0.48939,0.61307,0.72826,0.64163,0.46611,0.68288,1.19209,1.42881,1.04377,0,0.00113889,0.00113889,0.00113889
34,115.951,0.78925,1.21423,1.30993,1.04753,0,0.5745,0.82826,0.68054,0.55398,0.5745,0.82826,0.68054,0.54344,0.61358,1.37267,1.34771,1.01307,0,0.00112239,0.00112239,0.00112239
35,118.948,0.71703,1.05251,1.20483,1.03777,0,0.72726,0.71189,0.70632,0.58242,0.72726,0.71189,0.71071,0.56968,0.61492,1.35685,1.24146,1.00386,0,0.00110589,0.00110589,0.00110589
36,121.717,0.77295,1.10556,1.25677,1.02327,0,0.69111,0.64482,0.67849,0.54492,0.69111,0.64482,0.68225,0.53872,0.63621,1.37655,1.23565,1.03357,0,0.00108938,0.00108938,0.00108938
37,124.473,0.68691,1.09737,2.04373,0.97708,0,0.58157,0.64972,0.67863,0.56053,0.58157,0.64972,0.67863,0.53928,0.67134,1.28844,1.30578,1.04596,0,0.00107288,0.00107288,0.00107288
38,127.248,0.74686,1.05554,1.2562,1.02807,0,0.49539,0.66839,0.63247,0.5187,0.49539,0.66839,0.63247,0.50475,0.64837,1.19538,1.43987,1.01587,0,0.00105638,0.00105638,0.00105638
39,130.009,0.73622,1.06536,1.27964,1.02411,0,0.84058,0.47609,0.64669,0.54148,0.84058,0.47609,0.64669,0.51863,0.62101,1.22477,1.38731,0.99549,0,0.00103987,0.00103987,0.00103987
40,132.774,0.73772,1.05131,1.22665,1.0265,0,0.64662,0.66304,0.6733,0.54424,0.64662,0.66304,0.67707,0.52067,0.62717,1.19451,1.35099,1.00149,0,0.00102337,0.00102337,0.00102337
41,135.513,0.81186,1.07567,1.32812,1.06688,0,0.73253,0.61123,0.69416,0.54766,0.73253,0.61123,0.69416,0.52183,0.63401,1.19817,1.35307,1.02944,0,0.00100687,0.00100687,0.00100687
42,138.281,0.71438,1.12636,1.21714,1.04061,0,0.63552,0.61304,0.64151,0.53627,0.63552,0.61304,0.64151,0.49686,0.59282,1.27252,1.32577,1.01871,0,0.000990365,0.000990365,0.000990365
43,141.029,0.8044,1.18787,1.29038,1.10252,0,0.53745,0.70638,0.62575,0.52158,0.53745,0.70638,0.62575,0.49934,0.58164,1.08788,1.28593,0.97948,0,0.000973861,0.000973861,0.000973861
44,143.922,0.70519,1.03437,1.14629,1.01535,0,0.67962,0.47289,0.59697,0.49664,0.67962,0.47289,0.59697,0.48953,0.58699,1.01835,1.37786,0.97087,0,0.000957358,0.000957358,0.000957358
45,146.702,0.77084,1.16301,1.18629,1.05148,0,0.4749,0.58368,0.55951,0.447,0.4749,0.58368,0.55892,0.42052,0.63966,1.02462,1.66842,1.00254,0,0.000940855,0.000940855,0.000940855
46,149.563,0.75909,1.07312,1.22377,1.03757,0,0.70357,0.62619,0.64479,0.50607,0.70357,0.62619,0.64479,0.47255,0.70884,1.10615,1.64139,1.05439,0,0.000924352,0.000924352,0.000924352
47,152.331,0.76107,1.1059,1.15709,1.06531,0,0.54818,0.72826,0.70879,0.54603,0.54818,0.72826,0.70879,0.51352,0.73655,1.08318,1.47008,1.06414,0,0.000907848,0.000907848,0.000907848
48,155.115,0.70074,0.93013,1.07972,0.98986,0,0.57924,0.82826,0.75632,0.58693,0.57924,0.82826,0.75632,0.5816,0.74791,1.04866,1.22487,1.06791,0,0.000891345,0.000891345,0.000891345
49,157.897,0.71814,0.99606,1.14615,1.03046,0,0.84645,0.68456,0.80522,0.62019,0.84645,0.68456,0.81579,0.6165,0.70978,1.0374,1.1563,1.04697,0,0.000874842,0.000874842,0.000874842
50,160.836,0.69404,0.98136,1.10587,1.01986,0,0.65693,0.6913,0.71252,0.56763,0.71925,0.7413,0.73726,0.57251,0.66513,0.88259,1.2576,1.02387,0,0.000858338,0.000858338,0.000858338
51,163.591,0.68416,0.95475,1.06814,1.01929,0,0.62017,0.76022,0.71199,0.54956,0.62017,0.76022,0.72288,0.56002,0.6,0.85053,1.28818,0.9992,0,0.000841835,0.000841835,0.000841835
52,166.365,0.68722,1.0342,1.06052,1.01667,0,0.74084,0.65652,0.67895,0.52511,0.77039,0.63617,0.68889,0.53461,0.64107,0.83436,1.35498,1.03707,0,0.000825332,0.000825332,0.000825332
53,169.443,0.67251,1.08715,1.09415,1.01102,0,0.68501,0.64615,0.67457,0.54914,0.7614,0.61304,0.67776,0.52128,0.55894,0.81288,1.30001,0.97325,0,0.000808828,0.000808828,0.000808828
54,172.365,0.66452,0.96892,1.05151,0.98012,0,0.75186,0.66957,0.75556,0.64114,0.75186,0.66957,0.75556,0.62802,0.50355,0.89201,1.23802,0.92931,0,0.000792325,0.000792325,0.000792325
55,175.359,0.64683,0.97475,1.00109,0.99422,0,0.73381,0.69735,0.73153,0.62473,0.73381,0.69735,0.73153,0.61118,0.49523,0.88982,1.32781,0.92737,0,0.000775822,0.000775822,0.000775822
56,178.158,0.63505,0.97887,1.00548,0.98464,0,0.83201,0.67786,0.73711,0.62449,0.83201,0.67786,0.73711,0.59925,0.49738,0.88665,1.43056,0.93449,0,0.000759318,0.000759318,0.000759318
57,180.934,0.61459,0.85651,0.95819,0.95737,0,0.79541,0.65956,0.7325,0.61315,0.79541,0.65956,0.74303,0.58209,0.51121,0.89028,1.52748,0.94617,0,0.000742815,0.000742815,0.000742815
58,183.847,0.6463,0.96715,1.02282,1.00121,0,0.68387,0.67495,0.72104,0.60403,0.68387,0.67495,0.72104,0.5959,0.59127,0.93274,1.55323,1.00021,0,0.000726312,0.000726312,0.000726312
59,186.99,0.65736,0.92142,1.03531,0.98391,0,0.66396,0.78478,0.7153,0.59935,0.66396,0.78478,0.7153,0.586,0.62112,1.00157,1.54008,1.06201,0,0.000709809,0.000709809,0.000709809
