epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1482.26,1.05268,1.76622,0.96977,1.0801,0,0.61037,0.54555,0.57732,0.40061,0.57236,0.50746,0.49685,0.32486,1.13677,2.46418,1.26588,1.16259,0,0.0017327,0.0017327,0.0017327
29,1534.35,1.04318,1.73035,0.97462,1.08081,0,0.63944,0.60199,0.62276,0.43741,0.62712,0.56898,0.55689,0.35649,1.20103,2.32964,1.19196,1.18302,0,0.0017228,0.0017228,0.0017228
30,1586.44,1.04275,1.73103,0.96082,1.07056,0,0.62629,0.55029,0.58709,0.38544,0.62342,0.51741,0.521,0.32899,1.20007,2.17434,1.27694,1.18844,0,0.0017129,0.0017129,0.0017129
31,1638.25,1.03326,1.71278,0.9566,1.07076,0,0.69987,0.55688,0.61534,0.41052,0.67598,0.48265,0.52713,0.34646,1.16433,2.21998,1.1866,1.17263,0,0.001703,0.001703,0.001703
32,1690.5,1.02673,1.7233,0.9549,1.0642,0,0.63671,0.59204,0.59558,0.40524,0.62103,0.52586,0.5286,0.33428,1.13173,2.24795,1.24302,1.15362,0,0.0016931,0.0016931,0.0016931
33,1742.42,1.02342,1.699,0.94287,1.06701,0,0.67429,0.5597,0.62042,0.43469,0.60839,0.51741,0.53864,0.34967,1.12264,2.20481,1.22307,1.1546,0,0.0016832,0.0016832,0.0016832
34,1794.62,1.00738,1.64667,0.92718,1.05045,0,0.64704,0.58826,0.62948,0.43568,0.65725,0.50249,0.55701,0.36138,1.11859,2.23835,1.19636,1.13348,0,0.0016733,0.0016733,0.0016733
35,1846.49,1.00738,1.64753,0.89881,1.04883,0,0.67591,0.56965,0.62603,0.4384,0.64681,0.48507,0.51927,0.33633,1.11687,2.25342,1.19987,1.14125,0,0.0016634,0.0016634,0.0016634
36,1898.27,1.00675,1.66408,0.92279,1.04765,0,0.65499,0.64228,0.64867,0.42602,0.63124,0.55721,0.55339,0.35458,1.18314,2.1811,1.24901,1.15966,0,0.0016535,0.0016535,0.0016535
37,1950.36,0.98712,1.6112,0.88993,1.04553,0,0.7025,0.56392,0.59633,0.4164,0.64676,0.48259,0.49191,0.31926,1.16266,2.22361,1.24003,1.1763,0,0.0016436,0.0016436,0.0016436
38,2002.22,0.99069,1.65023,0.87046,1.04418,0,0.72818,0.56716,0.63745,0.45295,0.67021,0.51244,0.54926,0.36596,1.05804,2.0771,1.16402,1.12834,0,0.0016337,0.0016337,0.0016337
39,2054.45,0.98917,1.61944,0.8758,1.04316,0,0.63995,0.61194,0.63497,0.44596,0.56955,0.54975,0.53073,0.36213,1.09794,2.16523,1.16485,1.13487,0,0.0016238,0.0016238,0.0016238
40,2106.5,0.98074,1.66127,0.86443,1.03442,0,0.74653,0.57463,0.66981,0.47736,0.70327,0.50113,0.56073,0.37372,1.0841,2.03427,1.11632,1.13556,0,0.0016139,0.0016139,0.0016139
41,2158.38,0.97841,1.62192,0.84611,1.04009,0,0.71879,0.55954,0.60647,0.41897,0.67549,0.49005,0.50459,0.33204,1.11585,2.17018,1.29802,1.14198,0,0.001604,0.001604,0.001604
42,2211.01,0.97795,1.65144,0.8571,1.03168,0,0.67204,0.576,0.60485,0.41866,0.58137,0.49747,0.49664,0.33726,1.1223,2.24881,1.24754,1.14384,0,0.0015941,0.0015941,0.0015941
43,2263.46,0.96005,1.58368,0.83624,1.01454,0,0.58816,0.61815,0.60241,0.4163,0.55119,0.55907,0.52022,0.33807,1.11578,2.11521,1.23696,1.12543,0,0.0015842,0.0015842,0.0015842
44,2315.49,0.96331,1.57398,0.83476,1.0262,0,0.67203,0.64179,0.66564,0.45874,0.6599,0.58209,0.58073,0.36866,1.08335,2.06,1.12418,1.12879,0,0.0015743,0.0015743,0.0015743
45,2367.75,0.95187,1.60376,0.85099,1.02598,0,0.64896,0.55644,0.60866,0.4143,0.61312,0.48507,0.509,0.32646,1.13617,2.22109,1.23198,1.14105,0,0.0015644,0.0015644,0.0015644
46,2419.57,0.96117,1.58269,0.82247,1.03029,0,0.67725,0.60199,0.63637,0.44658,0.69001,0.50995,0.54718,0.36371,1.07508,2.19206,1.16867,1.11647,0,0.0015545,0.0015545,0.0015545
47,2471.91,0.94418,1.52691,0.80936,1.02633,0,0.58573,0.64011,0.62679,0.4298,0.61701,0.49005,0.52332,0.35213,1.07587,2.0616,1.11888,1.09936,0,0.0015446,0.0015446,0.0015446
48,2524.13,0.9362,1.54283,0.81094,1.0231,0,0.67904,0.5995,0.6255,0.44592,0.68383,0.50498,0.54216,0.35545,1.06182,2.11583,1.14859,1.11659,0,0.0015347,0.0015347,0.0015347
49,2576.53,0.96861,1.60482,0.82041,1.02709,0,0.68563,0.58051,0.63659,0.44752,0.69497,0.49751,0.56733,0.36984,1.10063,2.0503,1.13132,1.13045,0,0.0015248,0.0015248,0.0015248
50,2628.34,0.93485,1.56426,0.79122,1.01769,0,0.66563,0.58706,0.59731,0.39839,0.61478,0.4801,0.47882,0.3069,1.13451,2.13078,1.28049,1.1548,0,0.0015149,0.0015149,0.0015149
51,2680.13,0.92215,1.492,0.78689,1.01514,0,0.65835,0.58458,0.63924,0.45189,0.77665,0.46517,0.559,0.35977,1.08652,2.09845,1.12659,1.11896,0,0.001505,0.001505,0.001505
52,2731.86,0.92538,1.52645,0.78328,1.00989,0,0.72799,0.60199,0.66523,0.45959,0.64924,0.53731,0.54773,0.36761,1.09931,2.32162,1.13519,1.13393,0,0.0014951,0.0014951,0.0014951
53,2783.43,0.92946,1.50076,0.7748,1.0141,0,0.7167,0.55224,0.59802,0.42013,0.64237,0.46766,0.49456,0.33702,1.11879,2.22374,1.1617,1.15881,0,0.0014852,0.0014852,0.0014852
54,2835.16,0.90929,1.45663,0.76516,1.00398,0,0.72913,0.55224,0.62563,0.44166,0.70659,0.52118,0.53788,0.36061,1.06934,2.1103,1.14197,1.12946,0,0.0014753,0.0014753,0.0014753
55,2886.85,0.90266,1.45706,0.74206,1.00066,0,0.66928,0.66418,0.66225,0.46777,0.61979,0.57986,0.57062,0.38222,1.08932,2.13112,1.15104,1.11189,0,0.0014654,0.0014654,0.0014654
56,2938.67,0.90295,1.44976,0.75438,1.00624,0,0.67858,0.60394,0.64726,0.45947,0.69121,0.5,0.5459,0.36308,1.11472,2.17162,1.10301,1.12253,0,0.0014555,0.0014555,0.0014555
57,2990.66,0.8974,1.47497,0.73727,1.00195,0,0.7352,0.59204,0.63878,0.44341,0.70379,0.51244,0.55602,0.36859,1.13046,2.10774,1.15508,1.15251,0,0.0014456,0.0014456,0.0014456
58,3042.82,0.8976,1.45876,0.73151,0.98299,0,0.68639,0.63682,0.66778,0.47904,0.65819,0.55224,0.57961,0.38171,1.02981,2.10505,1.0739,1.09167,0,0.0014357,0.0014357,0.0014357
59,3094.85,0.91925,1.5427,0.73793,1.00922,0,0.67047,0.6023,0.61734,0.44527,0.61102,0.53483,0.51902,0.35313,1.05554,2.33988,1.20084,1.12436,0,0.0014258,0.0014258,0.0014258
60,3146.88,0.92568,1.51931,0.75764,1.0115,0,0.63914,0.61682,0.61223,0.43067,0.6785,0.48756,0.52261,0.3539,1.10262,2.28648,1.14494,1.1468,0,0.0014159,0.0014159,0.0014159
61,3198.63,0.90739,1.47085,0.73841,1.00212,0,0.73118,0.60697,0.65845,0.46011,0.6666,0.53218,0.55478,0.38113,1.05367,2.15483,1.05377,1.11545,0,0.001406,0.001406,0.001406
62,3250.26,0.87444,1.42853,0.73577,0.99364,0,0.66768,0.55477,0.60399,0.43115,0.6565,0.48968,0.52149,0.34962,1.09488,2.27812,1.23887,1.14558,0,0.0013961,0.0013961,0.0013961
63,3302.37,0.93122,1.52746,0.76084,1.004,0,0.58436,0.60697,0.55762,0.38788,0.52006,0.53483,0.47846,0.31845,1.10795,2.29579,1.24274,1.17173,0,0.0013862,0.0013862,0.0013862
64,3354.24,0.87255,1.43449,0.70342,0.99665,0,0.62864,0.63682,0.64112,0.44072,0.63721,0.55473,0.56945,0.37735,1.12094,2.23626,1.11598,1.16828,0,0.0013763,0.0013763,0.0013763
65,3406,0.87638,1.42547,0.73089,1.0033,0,0.64876,0.61443,0.63059,0.42522,0.5576,0.54555,0.51485,0.35189,1.1385,2.36758,1.15438,1.16696,0,0.0013664,0.0013664,0.0013664
66,3457.75,0.89862,1.44796,0.71463,0.99958,0,0.73819,0.63433,0.64831,0.45761,0.63842,0.56716,0.55088,0.3674,1.06426,2.22952,1.13138,1.13917,0,0.0013565,0.0013565,0.0013565
67,3509.65,0.88688,1.45242,0.70729,0.98985,0,0.76464,0.55473,0.6593,0.47066,0.71445,0.49254,0.5514,0.37795,1.05371,2.09665,0.99474,1.11382,0,0.0013466,0.0013466,0.0013466
68,3561.26,0.86488,1.43344,0.69206,0.98447,0,0.70525,0.58458,0.63692,0.44822,0.68369,0.49005,0.5161,0.34958,1.09945,2.28476,1.12891,1.13124,0,0.0013367,0.0013367,0.0013367
69,3613.92,0.88773,1.40275,0.68635,0.98626,0,0.64873,0.6194,0.62584,0.43995,0.59514,0.51493,0.51108,0.34848,1.1184,1.9871,1.13569,1.1665,0,0.0013268,0.0013268,0.0013268
70,3664.85,0.86771,1.40529,0.6875,0.98441,0,0.65688,0.63184,0.64558,0.46354,0.69433,0.51244,0.56022,0.37783,1.08291,2.092,1.10158,1.14012,0,0.0013169,0.0013169,0.0013169
71,3715.51,0.87869,1.4148,0.68407,0.98963,0,0.70056,0.64599,0.66053,0.46328,0.62205,0.59204,0.56785,0.38298,1.11442,2.12694,1.18799,1.15235,0,0.001307,0.001307,0.001307
72,3766.48,0.87234,1.42681,0.69059,0.98039,0,0.66539,0.6393,0.63264,0.44626,0.62676,0.50544,0.51419,0.35074,1.09989,2.39582,1.1546,1.15801,0,0.0012971,0.0012971,0.0012971
73,3817.16,0.86013,1.40226,0.68682,0.96799,0,0.70789,0.54726,0.61567,0.43888,0.60438,0.52985,0.51802,0.34273,1.0869,2.0614,1.1956,1.14006,0,0.0012872,0.0012872,0.0012872
74,3867.95,0.85782,1.40837,0.6684,0.97725,0,0.71717,0.64925,0.65621,0.47742,0.72314,0.54577,0.54852,0.366,1.02053,2.07569,1.07765,1.12517,0,0.0012773,0.0012773,0.0012773
75,3918.71,0.84999,1.38247,0.6685,0.97888,0,0.74994,0.57445,0.61982,0.43903,0.68202,0.51754,0.52465,0.34752,1.05355,2.06515,1.06039,1.15014,0,0.0012674,0.0012674,0.0012674
76,3969.47,0.84477,1.3885,0.68694,0.97458,0,0.65866,0.64428,0.63012,0.44382,0.59674,0.58458,0.53249,0.34467,1.06882,2.17536,1.11309,1.1578,0,0.0012575,0.0012575,0.0012575
77,4020.41,0.84969,1.36432,0.65279,0.97624,0,0.7056,0.62004,0.65247,0.44901,0.63359,0.5549,0.54554,0.36753,1.09715,2.28701,1.11728,1.15307,0,0.0012476,0.0012476,0.0012476
78,4071.12,0.84917,1.37563,0.66385,0.97748,0,0.68948,0.64179,0.65214,0.45585,0.64116,0.53483,0.5403,0.36516,1.06876,2.16014,1.169,1.13221,0,0.0012377,0.0012377,0.0012377
79,4121.89,0.83146,1.33035,0.64882,0.97208,0,0.68238,0.60945,0.61806,0.42785,0.66075,0.49502,0.50906,0.33349,1.10035,2.32832,1.23754,1.16172,0,0.0012278,0.0012278,0.0012278
