epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,59.6682,1.28719,2.59248,2.17617,1.33192,0,0.50826,0.47622,0.4696,0.26402,0.4887,0.46265,0.44301,0.23172,1.12946,1.911,1.4714,1.15859,0,0.000475199,0.000475199,0.000475199
2,109.152,1.18876,1.94395,1.57717,1.23061,0,0.50577,0.41757,0.47728,0.25527,0.47955,0.40088,0.44441,0.20902,1.20611,1.95342,1.6863,1.24083,0,0.000942112,0.000942112,0.000942112
3,155.311,1.15594,1.90653,1.51783,1.20952,0,0.47145,0.56891,0.54313,0.31754,0.47345,0.54957,0.51609,0.26799,1.13045,1.88572,1.33326,1.12943,0,0.00139959,0.00139959,0.00139959
4,201.661,1.18368,1.88995,1.40759,1.21491,0,0.58898,0.59419,0.57692,0.31549,0.60584,0.58712,0.57779,0.30138,1.2348,1.80433,1.25448,1.20868,0,0.00138656,0.00138656,0.00138656
5,258.718,1.12507,1.85998,1.28976,1.18732,0,0.69067,0.51815,0.59086,0.35107,0.66962,0.50009,0.55775,0.28971,1.09677,1.87391,1.22168,1.12205,0,0.00137241,0.00137241,0.00137241
6,324.796,1.07615,1.71179,1.16467,1.16162,0,0.60318,0.64456,0.63099,0.36716,0.60634,0.65404,0.62458,0.3351,1.07655,1.64845,1.10041,1.10033,0,0.00135826,0.00135826,0.00135826
7,379.405,1.05459,1.68219,1.09132,1.14949,0,0.62701,0.61685,0.63156,0.37716,0.61164,0.61904,0.60237,0.32667,1.03937,1.64537,1.04587,1.06637,0,0.00134412,0.00134412,0.00134412
8,425.35,1.04585,1.70685,1.13265,1.13912,0,0.69538,0.59438,0.66135,0.40195,0.67063,0.57788,0.62471,0.34825,0.99786,1.63663,0.98128,1.04708,0,0.00132997,0.00132997,0.00132997
9,471.262,1.03058,1.6018,1.04782,1.14282,0,0.5915,0.56858,0.60356,0.3735,0.46402,0.57356,0.57713,0.30916,0.99106,1.57934,0.95493,1.06746,0,0.00131582,0.00131582,0.00131582
10,517.067,1.00766,1.61835,1.07092,1.12514,0,0.66604,0.63633,0.66049,0.4019,0.64365,0.61735,0.63111,0.35346,0.99444,1.5466,0.95866,1.06203,0,0.00130168,0.00130168,0.00130168
